"Year","Lon","Lat","County"
2020,-1.88836,52.94819,"Staffordshire"
2020,-0.76327,53.1317,"Nottinghamshire"
2020,-1.86384,54.5185,"County Durham"
2020,-0.01972,52.20186,"Cambridgeshire"
2020,-1.91556,53.12611,"Staffordshire"
2020,-1.05238,51.8904,"Buckinghamshire"
2020,-0.27266,52.31128,"Cambridgeshire"
2020,-0.44095,53.95424,"East Riding of Yorkshire"
2020,-1.32911,51.43693,"West Berkshire"
2020,-0.90735,51.26922,"Hampshire"
2020,-0.20996,51.44297,"Greater London"
2020,-1.81221,54.25986,"North Yorkshire"
2020,-0.91139,54.01472,"North Yorkshire"
2020,-3.03265,55.10865,"Dumfries and Galloway"
2020,-0.5178,52.95718,"Lincolnshire"
2020,-3.93773,55.18654,"Dumfries and Galloway"
2020,0.78464,52.87393,"Norfolk"
2020,-2.47441,54.39277,"Cumbria"
2020,-1.92452,53.83804,"Bradford"
2020,-0.38817,52.14969,"Bedford"
2020,-1.93386,54.04193,"North Yorkshire"
2020,-0.67306,53.76329,"East Riding of Yorkshire"
2020,-1.65178,54.78888,"County Durham"
2020,-0.30743,51.47229,"Greater London"
2020,-1.04128,52.91251,"Nottinghamshire"
2020,-1.78411,51.57956,"Swindon"
2020,-2.32378,52.38273,"Worcestershire"
2020,0.0097,52.20122,"Cambridgeshire"
2020,0.8166,51.10916,"Kent"
2020,-2.17123,53.60108,"Rochdale"
2020,-2.81655,51.41256,"North Somerset"
2020,-3.7938,51.92515,"Carmarthenshire"
2020,-2.57587,55.20674,"Northumberland"
2020,-2.48641,51.92658,"Herefordshire, County of"
2020,-0.24628,53.7495,"Kingston upon Hull, City of"
2020,-0.60736,52.75117,"Rutland"
2020,-0.13324,52.0256,"Hertfordshire"
2020,0.4373,52.20669,"Cambridgeshire"
2020,-0.80712,52.3221,"Northamptonshire"
2020,-1.87327,54.30724,"North Yorkshire"
2020,-2.24114,53.17842,"Cheshire East"
2020,-1.10149,52.58408,"Leicestershire"
2020,-1.11971,51.61754,"Oxfordshire"
2020,-0.06426,51.57394,"Greater London"
2020,-1.41649,51.53023,"West Berkshire"
2020,-0.69208,53.17732,"Lincolnshire"
2020,-2.25235,51.25814,"Somerset"
2020,-1.32254,51.39033,"West Berkshire"
2020,-2.92999,54.46895,"Cumbria"
2020,-0.62698,52.55852,"Northamptonshire"
2020,-1.2782,53.00218,"Nottinghamshire"
2020,-0.02511,53.36132,"Lincolnshire"
2020,-1.67577,54.58699,"Darlington"
2020,-1.78608,54.69135,"County Durham"
2020,-1.93356,52.44365,"Birmingham"
2020,-0.38855,54.17173,"East Riding of Yorkshire"
2020,-1.25728,53.09024,"Nottinghamshire"
2020,1.06856,52.18262,"Suffolk"
2020,-1.70387,53.75355,"Kirklees"
2020,-0.07401,51.58502,"Greater London"
2020,-2.66762,52.48369,"Shropshire"
2020,-1.9276,52.03779,"Worcestershire"
2020,-1.43774,51.39914,"West Berkshire"
2020,0.26879,50.79284,"East Sussex"
2020,-1.01002,51.62179,"Oxfordshire"
2020,-1.67695,53.21311,"Derbyshire"
2020,0.09059,52.1321,"Cambridgeshire"
2020,0.34821,51.87676,"Essex"
2020,-3.61952,52.27838,"Powys"
2020,0.46585,50.99297,"East Sussex"
2020,-1.65303,55.20488,"Northumberland"
2020,0.71301,52.63312,"Norfolk"
2020,-2.2052,55.00947,"Northumberland"
2020,-0.80482,54.16481,"North Yorkshire"
2020,-0.99773,54.09564,"North Yorkshire"
2020,-3.36404,51.69201,"Rhondda Cynon Taf"
2020,-1.99069,52.36007,"Worcestershire"
2020,-1.8201,51.34863,"Wiltshire"
2020,-0.53804,50.92105,"West Sussex"
2020,-0.8681,51.4115,"Wokingham"
2020,-2.36584,53.27543,"Cheshire East"
2020,-3.28936,51.44937,"Vale of Glamorgan"
2020,-0.10979,51.98982,"Hertfordshire"
2020,-1.50279,54.7405,"County Durham"
2020,-2.89246,51.25363,"Somerset"
2020,-4.20543,50.37208,"Cornwall"
2020,-0.20584,52.54051,"Cambridgeshire"
2020,-2.29154,51.14601,"Wiltshire"
2020,-0.37476,52.762,"Lincolnshire"
2020,-1.96028,51.33257,"Wiltshire"
2020,1.19048,52.05844,"Suffolk"
2020,-0.76432,51.74993,"Buckinghamshire"
2020,-2.73961,51.25038,"Somerset"
2020,-0.61455,53.02923,"Lincolnshire"
2020,-2.74926,50.85281,"Dorset"
2020,-0.97437,51.0839,"Hampshire"
2020,-3.45881,51.99073,"Powys"
2020,-3.13472,52.00974,"Powys"
2020,-0.72449,51.2096,"Surrey"
2020,-0.06194,52.67507,"Lincolnshire"
2020,-2.09213,53.65033,"Rochdale"
2020,-1.49091,52.7953,"Derbyshire"
2020,0.18109,51.36431,"Kent"
2020,0.07462,51.9625,"Hertfordshire"
2020,-0.35434,52.94108,"Lincolnshire"
2020,-1.68566,51.89412,"Gloucestershire"
2020,-2.00845,53.13648,"Staffordshire"
2020,-0.53496,52.04923,"Central Bedfordshire"
2020,-1.82314,53.87017,"Bradford"
2020,-0.13036,53.24151,"Lincolnshire"
2020,-0.08622,51.50379,"Greater London"
2020,-0.33958,51.02688,"West Sussex"
2020,-1.50491,53.68209,"Wakefield"
2020,-1.69955,51.81822,"Gloucestershire"
2020,-0.4717,51.53314,"Greater London"
2020,-0.17259,51.3845,"Greater London"
2020,-1.02822,52.12425,"Northamptonshire"
2020,0.02102,51.60208,"Greater London"
2020,-1.73227,51.8948,"Gloucestershire"
2020,-0.90345,52.683,"Leicestershire"
2020,-2.08552,51.13981,"Wiltshire"
2020,-1.60296,53.70455,"Kirklees"
2020,-2.14317,52.69917,"Staffordshire"
2020,-2.21279,55.58251,"Northumberland"
2020,-1.13998,53.69947,"North Yorkshire"
2020,-2.92293,52.1898,"Herefordshire, County of"
